,id,source,job_title,job_description,created_at
0058fdae2af7aae6,0058fdae2af7aae6,indeed,Senior Software Engineer / Specialist (FinTech) / Frontend Developer / Data Engineer,"<br> Degree in Computing Science or a mathematical/scientific subject <br>Good communication skills in oral English both within IT and with business users <br>Essential Java8+ knowledge with exposure to <br>Dependency Injection / IoC frameworks, such as Spring <br>C, JPA and Hibernate. Knowledge of other O/R mapping frameworks a plus <br>Object Serialization, such as Thrift/Protobuf <br>Agile development methodology, including TDD/BDD and CI/CD <br>Relational database, such as Oracle/MySQL/PostgreSQL <br>Good UNIX / Linux experience <br>Clouding based knowledge, such as Docker, Amazon AWS, Terraform <br><br> <b>Ideal Additional Skills &amp; Experience:</b><br> Experience of one or more of the followings <br><ul>  <li>PHP7.2+ knowledge with understanding of PHP-FPM</li>  <li>NodeJS, TypeScript, ReactJS or VueJS</li>  <li>Golang</li> </ul> Secure programming knowledge - common threats and how to avoid writing exploitable code <br>Remittance/Payment/Forex business knowledge ",2023-04-01 21:43:04.739
c543d68f3a4bd5bf,c543d68f3a4bd5bf,indeed,"Java Developer (Finance, Springboot)","<ul>     <li>Bachelor’s degree in Computer Science, Software Engineering, or related.</li>     <li>At least 4+ years’ experience in Java application development and Spring boot environment.</li>     <li>Experience in the Digital Payment / Card Payment/ Banking industry will be added advantage.</li>     <li>Good experience of agile software development methodologies.</li>     <li>Self-motivated, strong problem solving and analytical skills.</li>     <li>Good verbal and written communication skills in Cantonese, Mandarin, and English</li>   </ul>  </div>",2023-04-01 21:43:15.541
6b569411d8651828,6b569411d8651828,indeed,Technical Lead / Application Development Manager (Digital Payment - FPS),"<div> <ul>   <li>Degree holder or above in Information Technology, Computer Science or related disciplines</li>   <li>7+ years of relevant experience in system design, development and management</li>   <li>Hand-on experience in Linux , Java, JMS/MQ, Webservice, Oracle, DB2 and IBM Websphere products</li>   <li>Familiar with FPS business knowledge and/or Merchant payment products.</li>   <li>Strong interpersonal, communication, presentation and problem solving skills</li>   <li>Self-motivated, willing to work in competent, challenging and team-work environment.</li>   <li>Good command in both written and spoken Chinese and English, knowledge of the Mandarin is a plus.</li>  </ul></div>",2023-04-01 21:43:24.606
4ab207757297e64f,4ab207757297e64f,indeed,JAVA Developer (Digital Banking),"<div> <ul>  <li> Degree in Computer Science, Information Technology, Business or related disciplines</li>   <li>Minimum 2-3 year of project development experience in banking environment</li>   <li>Hands-on project management experience on banking payment systems</li>   <li>Strong core Java fundamentals, including multi-threading, garbage collection concepts and performance tuning.</li>   <li>Proven experience with object-oriented development in Java and Python</li>  </ul> </ul>",2023-04-01 21:43:27.546
c32c304a2144a6e2,c32c304a2144a6e2,indeed,System Analyst (Backend),"<h3 class=""jobSectionHeader""></h3>   <div>   <ul>    <li>University graduate in Computer Science or related disciplines</li>     <li>At least 6 years of experience in web development</li>     <li>Strong &amp; hands-on development skills in PHP, Java or C#.NET</li> <li>Strong Knowledge in relational database design (eg. MySQL, MS SQL Server, Oracle or DB2 etc)</li>     <li>Basic knowledge of HTML, CSS, JavaScript and JQuery</li>     <li>Experience in Shellscript, SQL tuning, Smarty or Spring is a plus</li>     <li>Experience in interfacing payment gateways (e.g. PayPal, Android/iOS in-app purchase) is a plus</li>     <li>Good understanding of algorithms and Linux platform</li>     <li>Cloud service such as Azure, AWS, or Aliyun experience is a plus</li>     <li>Understanding of Agile/Lean software delivery methodology is preferred</li>     <li>Good team player with strong interpersonal and communication skills</li>     <li>Willing to learn new technology and have a strong sense of responsibility</li>    </ul>  </div> </div></div><div></div>",2023-04-01 21:43:42.273
eac2805d7f4b51c0,eac2805d7f4b51c0,indeed,Analyst Programmer / Senior Analyst Programmer (Backend),"<h3 class=""jobSectionHeader""></h3>   <div>   <ul><li>University graduate in Computer Science or related disciplines</li>     <li>At least 3 years of experience in web development</li>     <li>Strong &amp; hands-on development skills in PHP, Java or C#.NET</li>     <li>Strong Knowledge in relational database design (eg. MySQL, MS SQL Server, Oracle or DB2 etc)</li>     <li>Basic knowledge of HTML, CSS, JavaScript and JQuery</li>     <li>Experience in Shellscript, SQL tuning, Smarty or Spring is a plus</li>     <li>Experience in interfacing payment gateways (e.g. PayPal, Android/iOS in-app purchase) is a plus</li>     <li>Good understanding of algorithms and Linux platform</li>     <li>Cloud service such as Azure, AWS, or Aliyun experience is a plus</li>     <li>Understanding of Agile/Lean software delivery methodology is preferred</li>     <li>Good team player with strong interpersonal and communication skills</li> <li>Willing to learn new technology and have a strong sense of responsibility</li>     <li>Candidate with less experience maybe considered as Senior Programmer</li>    </ul>  </div> </div></div><div></div>",2023-04-01 21:43:45.724
e437ed74b871e6cf,e437ed74b871e6cf,indeed,Junior IT Trainee / System Analyst - Web / Big Data / Business Analyst / Android iOS Developer,"<div>       <div>        <p><b>Web Programmer</b></p>         <p><b> Job Responsibilities</b></p>         <ul>          <li>Participate in system development for Web applications</li>          <li>Prepare system documents</li>          <li>Provide support for Web applications</li>         </ul>         <p><b>Programmer / Mobile Developer / (Senior) System Analyst:</b></p>        <p><br> <b> Responsibilities:</b></p>         <ul>          <li>Perform programming development in ""Cloud-Native” web, mobile applications and big data projects</li>          <li>Participate into entire SDLC from requirements, design, develop, test, deploy and production support</li>          <li>Getting to learn and apply the use of latest digital technologies, such as Containers, Micro-services, API, DevOps, etc.</li>          <li>Closely work with different parties; business analysts, IT architects, project managers</li>          <li>Perform technology evaluation, pilot testing and feasibility study in new product projects</li>          <li>Either experience Java or C#, .NET or mobile (Android/iOS) programming are welcome</li>          <li>Involve in coding, testing, UAT</li>          <li>Provide business applications support for the programming system</li>        </ul>        <div>         <br>         </div> ",2023-04-01 21:43:48.811
e825dfc6a2ec4a09,e825dfc6a2ec4a09,indeed,Senior Analyst Programmer (Java) - Global FinTech,"<div> <ul>  <li>One of the biggest Payment solution provider</li>  <li> Java , HTML , Restful API</li> </ul>  <h3 class=""jobSectionHeader""><b>Job Description</b></h3> <ul>  <li> Design, lead development and implement ePayment application systems and digital solutions</li>   <li>Participate in full SDLC for application design, development, testing and system implementation</li>   <li>Prepare technical and support documentation</li>  </ul> <h3 class=""jobSectionHeader""><b>The Successful Applicant</b></h3> <ul>  <li> Solid experience in web application design and development</li>   <li>Hands on experience in Java / Spring Boot / RESTful API </li>  <li>Good communication skills in Cantonese and good command of both written and spoken English</li>  </ul> <h3 class=""jobSectionHeader""><b>What's on Offer</b></h3> <ul>  <li> regional exposure </li>  <li>payment expert team</li> </ul></div><p></p>",2023-04-01 21:43:52.055
76986bb1c570a44d,76986bb1c570a44d,indeed,IT Trainee / Junior Developer / Analyst Programmer (Cloud / Big Data / Mobile Projects)," <br>       </div>      <br>       <div>       <div>        <ul>          <li>IT graduates, non-degree holders or recent coding bootcamp graduates are welcome</li>          <li>But most important is passion and has a strong willingness to learn new technologies</li>          <li>1 year or above hands-on development experience (internship experience is counted as work)</li>          <li>Familiar with at least one of the following technologies:</li>         </ul>         <p>o Java / Spring Boot<br> o ASP / C# / .NET<br> o Android / iOS Native<br> o JavaScript / React / Angular / Node.JS<br> o Python / R / Ruby / Spark / Teradata<br> o Amazon AWS / Azure / other cloud platforms<br> o Containers / Dockers<br> o Elastic Search<br> o Artificial Intelligence / Machine Learning</p>         <ul>          <li>Can communicate in good Chinese and English with local team members</li>        </ul>       </div>      </div>     </div>    </div>   </div>  </div> </div></div>",2023-04-01 21:43:55.038
2e7f55b7e027ee8d,2e7f55b7e027ee8d,indeed,Contract Analyst Programmer (Bid Ref 45379-1),"</ul>Technical Skills:  <br> . At least 2 years' experience in Windows Server 2008/2012 (W12);  <br> . At least 1 year's experience in Office Automation (OAN);  <br> . 6 months' experience in Security Risk Assessment and Audit (SAA) is an advantage;  <br> . 6 months' experience in Adobe Illustrator (ADI) is an advantage;  <br> . 6 months' experience in Adobe Photoshop (APH) is an advantage;  <br> . 6 months' experience in Networking (NET) is an advantage.  <br> Non-technical Skills:  <br> . At least 6 months' experience in helpdesk call handling (HDT);  <br> . 6 months' experience in IT service/outsourcing management (OUT) is an advantage;  <br> . 6 months' experience in IT procurement (PRO) is an advantage;  <br> . 6 months' experience in vendor management (VMG) is an advantage;  <br> . 6 months' experience in work with the Government (GOV) is an advantage.  <br>  <ul>  <li>Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; </li>  <li>At least 3 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.</li> </ul></div>",2023-04-01 21:43:57.988
7ae541d0ef6c9003,7ae541d0ef6c9003,indeed,Analyst Programmer,"/h3> <ul>  <li> Minimum 3 years' experience in applications development with .Net.</li>   <li>Skilled in API programming and developing microservices.</li>   <li>Strong in .Net Core, Docker and SQL programming</li>   <li>Knowledge in Java, NodeJs, ReactJs and CI/CD tool is a plus</li>   <li>Experience in finance industry solutions is an advantage</li>   <li>Passionate on new technologies and always keep learning new skills.</li>   <li>Good spoken and written skills in English.</li>   <li>Good team player; self-initiative, pro-active and 'can do' attitude</li>",2023-04-01 21:44:00.973
4a69e0fdd3d35b9f,4a69e0fdd3d35b9f,indeed,"Analyst Programmer/ Programmer, Digital","<br> + Higher Diploma or above in Computer Science, Computing, Information Technology or related disciplines <br><br> + Familiar with Web development or Mobile development <br><br> + Familiar with programming tools and databases <br><br> + Capable to perform development by using Java / .Net / react.js / node.js <br><br> + Good technical and analytical skills, self-motivated and able to work under pressure. <br><br> + Good command of written and spoken English and Chinese <br>",2023-04-01 21:44:03.887
2f8ef0e27e808707,2f8ef0e27e808707,indeed,Analyst Programmer,"<ul><li> Have Bachelor's Degree in IT-related disciplines or equivalent: Computer Science or Computer Engineering is highly preferrable.</li><li> Accept fresh graduate(Bachelor’s degree) with Java skills.</li><li> Have combination of experience including but not limited to the following items:<ul><li> Web-based and database application development</li><li> Solid skill in Java, web server programming, XML, HTML5, Javascript/Javascript framework</li></ul></li><li> Have IT experience in the following items is preferrable:<ul><li> Implementation of web-based and database application;</li><li> Using the Rapid Application Development/Agile Software Development methodology;</li><li> Implementation or maintenance of common services such as messaging notification online payment. client authentication using digital certificates etc provided by EGIS:</li><li> Implementation or maintenance of System that support payment using digital wallet</li><li> Implementation or maintenance of System adopted virtualization technologies and host on GovCloud or EGIS</li></ul></li><li> Shall communicate to all levels both in English and in Cantonese; and proficient in English and technical writing</li></ul></div>",2023-04-01 21:44:09.092
15be41f38f727d63,15be41f38f727d63,indeed,Contract Programmer (Bid Ref 43493-2),"<div> <br> Yrs of Total Post-Quali Exp 2.0 Requirements <br> Language required: Cantonese and English <br> Technical Skills:  <br> . At least 2 years' experience in Networking (NET);  <br> . At least 2 years' experience in PC LAN Support (PLS);  <br> . At least 1 year's experience in Windows Server 2008/2012 (W12).  <br>  <ul>  <li>Bachelor's degree/Higher Diploma in Computer Science, IT or equivalent; </li>  <li>At least 2 years' post-qualification experience in which at least 1 year's relevant experience in a similar post and in a comparable capacity.</li> </ul></div>",2023-04-04 11:14:03.404
jobsdb-hk-job-100003010211910,jobsdb-hk-job-100003010211910,jobsdb,Java Developer / Analyst Programmer,"<div class=""z1s6m00""><div><ul><li><span>Have Bachelor's Degree in IT-related disciplines or equivalent: </span><span>Computer Science or Computer Engineering is highly preferrable.</span></li><li><span>Accept fresh graduate</span><span>(Bachelor’s degree) with Java skills.</span></li><li><span>Have combination of experience including but not limited to the following items:</span><ul><li><span>Web-based and database application development</span></li><li><span>Solid skill in </span><span>Java</span><span>,</span><span> web server programming, XML, HTML5, Javascript/Javascript framework</span></li></ul></li><li><span>Have IT experience in the following items</span><span> is preferrable</span><span>:</span><ul><li><span style=""font-family:inherit;font-size:12pt"">Implementation of web-based and database application;</span></li><li><span style=""font-family:inherit;font-size:12pt"">Using the Rapid Application Development/Agile Software Development methodology;</span></li><li><span style=""font-family:inherit;font-size:12pt"">Implementation or maintenance of common services such as messaging notification online payment. client authentication using digital certificates etc provided by EGIS:</span></li><li><span style=""font-family:inherit;font-size:12pt"">Implementation or maintenance of System that support payment using digital wallet</span></li><li><span style=""font-family:inherit;font-size:12pt"">Implementation or maintenance of System adopted virtualization technologies and host on GovCloud or EGIS</span></li></ul></li><li><span>Shall communicate to all levels both in English and in Cantonese; and proficient in English and technical writing</span></li></ul></div>",2023-04-12 10:15:10.433
jobsdb-hk-job-100003010212376,jobsdb-hk-job-100003010212376,jobsdb,Technical Lead (Digital Payment – FPS),"<div class=""z1s6m00""><ul><li>Degree holder or above in Information Technology, Computer Science or related disciplines</li><li>7+ years of relevant experience in system design, development and management</li><li>Hand-on experience in Linux , Java, JMS/MQ, Webservice, Oracle, DB2 and IBM Websphere products</li><li>Familiar with FPS business knowledge and/or Merchant payment products.</li><li>Strong interpersonal, communication, presentation and problem solving skills</li><li>Self-motivated, willing to work in competent, challenging and team-work environment.</li><li>Good command in both written and spoken Chinese and English, knowledge of the Mandarin is a plus.</li><li>Less experience will consider as Application Development Manager.</li></ul></div>",2023-04-12 10:15:10.580
23758a68b4d57b48,23758a68b4d57b48,indeed,Senior Software Engineer (Financial Services),"<br> University degree or above in Computer Science, Information Technology or related disciplines <br><br> Minimum 5 years of relevant experience, gain from financial services industry is a plus <br><br> Hands on experience in Node.js/ React/ React Native/ Java/ .Net framework/ MSSQL or MySQL database would be an advantage <br><br> Relevant experience in Financial Trading / Data Warehouse / Accounting / Reporting / Payment Gateway / KYC / AML system or business flow is an added advantage <br><br> Experience in API gateway, RESTful API, AWS, Salesforce, Web and Mobile application development experience is a plus <br><br> Self-motivated, independent, diligent and able to work under pressure <br>",2023-04-15 12:01:28.946
4c32d658df007a81,4c32d658df007a81,indeed,Analyst Programmer / Java Developer,"<br> Have Bachelor's degree in IT-related disciplines or equivalent: Computer Science or Computer Engineering is highly preferrable. <br><br> Accept fresh graduate(Bachelor’s degree) with Java skills. <br><br> Have combination of experience including but not limited to the following items: <br><br> Web-based and database application development <br><br> Solid skill in Java, web server programming, XML, HTML5, Javascript/Javascript framework <br><br> <b>Have IT experience in the following items is preferrable:</b><br> Implementation of web-based and database application; <br><br> Using the Rapid Application Development/Agile Software Development methodology; <br><br> Implementation or maintenance of common services such as messaging notification online payment. client authentication using digital certificates etc provided by EGIS: <br><br> Implementation or maintenance of System that support payment using digital wallet <br><br> Implementation or maintenance of System adopted virtualization technologies and host on GovCloud or EGIS <br><br> Shall communicate to all levels both in English and in Cantonese; and proficient in English and technical writing ",2023-04-15 12:01:53.077
5725b16440ded1a6,5725b16440ded1a6,indeed,Analyst Programmer," <li> Have Bachelor's Degree in IT-related disciplines or equivalent:u00A0Computer Science or Computer Engineering is highly preferrable.</li>  <li> Accept fresh graduate(Bacheloru2019s degree) with Java skills.</li>  <li> Have combination of experience including but not limited to the following items:   <ul>    <li> Web-based and database application development</li>    <li> Solid skill inu00A0Java,u00A0web server programming, XML, HTML5, Javascript/Javascript framework</li>   </ul></li>  <li> Have IT experience in the following itemsu00A0is preferrable:   <ul>    <li> Implementation of web-based and database application</li>    <li> Using the Rapid Application Development/Agile Software Development methodology</li>    <li> Implementation or maintenance of common services such as messaging notification online payment. client authentication using digital certificates etc provided by EGIS:</li>    <li> Implementation or maintenance of System that support payment using digital wallet</li>    <li> Implementation or maintenance of System adopted virtualization technologies and host on GovCloud or EGIS</li>   </ul></li>  <li> Shall communicate to all levels both in English and in Cantonese and proficient in English and technical writing</li> </ul></div>",2023-04-15 12:03:28.368
jobsdb-hk-job-100003010233525,jobsdb-hk-job-100003010233525,jobsdb,Java System Analyst (Kowloon Bay),"<div class=""z1s6m00""><p>(i) shall have a Hong Kong Degree in IT-related disciplines, or equivalent;</p><p>(ii) shall have at least six years of IT experience including at least four years combination of experience including but not limited to the following items:</p><div>(a) System analysis and design; and</div><div>(b) Web-based and database application development.</div><div>(c) Hands-on Java SA</div><div>(d) Technical Skills: SpringBoot, Bootstrap, Jquery, SQL, Jasper, Flutter, etc</div><p>(iii) Preferrable Requirements:</p><div>(a) Implementation or maintenance of web-based and database application;</div><div>(b) Using the Rapid Application Development/Agile Software Development methodology;</div><div>(c) Implementation or maintenance of common services such as messaging, notification, online payment, client authentication using digital certificates etc. provided by Government Infrastructure Service (EGIS);</div><div>(d) Design and conduct data analysis to process data migration/conversion; and</div><div>(e) Deployment of Enterprise Application Platform under virtualisation platforms such as Hyper-V.</div><p> (iv) shall communicate to all levels both in English and in Cantonese; and proficient in English and technical writing.<br><br></p></div>",2023-04-20 10:15:08.920
